Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
85132564,-1.48,-173.18,4.3,11.74,-3.0,5.2,-34.7
85309556,-1.49,-173.26,4.3,11.68,-2.9,5.2,-34.2
85486546,-1.48,-173.42,4.3,11.73,-2.9,5.1,-33.7
85663536,-1.48,-173.53,4.3,11.77,-2.8,5.1,-33.3
85840528,-1.47,-173.67,4.2,11.82,-2.7,5.1,-32.9
86017518,-1.48,-173.89,4.3,11.77,-2.6,5.0,-31.9
86194508,-1.46,-174.05,4.2,11.89,-2.6,4.9,-31.5
86371500,-1.47,-174.16,4.2,11.82,-2.5,4.9,-30.8
86548490,-1.47,-174.34,4.2,11.84,-2.5,4.9,-30.1
86725480,-1.47,-174.43,4.2,11.86,-2.4,4.9,-29.7
86902472,-1.46,-174.58,4.2,11.91,-2.3,4.8,-29.2
